obs,cons,price,gdpc1,dq1,dq2,dq3,dq4,covid,lc,lp,ly,time,lc_1,lc_2,lc_3,ly_1,ly_2,ly_3,ly_4,ly_5,ly_6,lp_1,lp_2
2007Q3,9517.3,2.898,15671.6,0,0,1,0,0,9.16086647411413,1.06402084389849,9.65960543607252,66,9.14998862959144,9.12277429571481,9.1400555949099,9.65360210277891,9.64723954557388,9.64430222987465,9.63590218178347,9.63439822544166,9.63194782193025,1.11841491596429,0.878381158800935
2007Q4,9305.53333333333,3.017,15767.1,0,0,0,1,0,9.13836448428854,1.10426296017692,9.665680769578,67,9.16086647411413,9.14998862959144,9.12277429571481,9.65960543607252,9.65360210277891,9.64723954557388,9.64430222987465,9.63590218178347,9.63439822544166,1.06402084389849,1.11841491596429
2008Q1,9092.8,3.15533333333333,15702.9,1,0,0,0,0,9.11523817054286,1.14909414281595,9.66160068765478,68,9.13836448428854,9.16086647411413,9.14998862959144,9.665680769578,9.65960543607252,9.65360210277891,9.64723954557388,9.64430222987465,9.63590218178347,1.10426296017692,1.06402084389849
2008Q2,9299.41666666667,3.809,15792.8,0,1,0,0,0,9.13770695315978,1.33736668749647,9.66730941895146,69,9.11523817054286,9.13836448428854,9.16086647411413,9.66160068765478,9.665680769578,9.65960543607252,9.65360210277891,9.64723954557388,9.64430222987465,1.14909414281595,1.10426296017692
2008Q3,9226.61666666667,3.901,15709.6,0,0,1,0,0,9.12984770197367,1.36123293052452,9.66202726943602,70,9.13770695315978,9.11523817054286,9.13836448428854,9.66730941895146,9.66160068765478,9.665680769578,9.65960543607252,9.65360210277891,9.64723954557388,1.33736668749647,1.14909414281595
2008Q4,8978.8,2.355,15366.6,0,0,0,1,0,9.10262152207739,0.856540727468381,9.63995160191243,71,9.12984770197367,9.13770695315978,9.11523817054286,9.66202726943602,9.66730941895146,9.66160068765478,9.665680769578,9.65960543607252,9.65360210277891,1.36123293052452,1.33736668749647
2009Q1,8960.26666666667,1.942,15187.5,1,0,0,0,0,9.10055526743086,0.663718369869133,9.6282280000829,72,9.10262152207739,9.12984770197367,9.13770695315978,9.63995160191243,9.66202726943602,9.66730941895146,9.66160068765478,9.665680769578,9.65960543607252,0.856540727468381,1.36123293052452
2009Q2,9119.26666666667,2.36633333333333,15161.8,0,1,0,0,0,9.11814467047865,0.861341640389139,9.62653438565733,73,9.10055526743086,9.10262152207739,9.12984770197367,9.6282280000829,9.63995160191243,9.66202726943602,9.66730941895146,9.66160068765478,9.665680769578,0.663718369869133,0.856540727468381
2009Q3,9146.05,2.62033333333333,15216.6,0,0,1,0,0,9.12107737107382,0.96330153614351,9.6301422161844,74,9.11814467047865,9.10055526743086,9.10262152207739,9.62653438565733,9.6282280000829,9.63995160191243,9.66202726943602,9.66730941895146,9.66160068765478,0.861341640389139,0.663718369869133
2009Q4,9022.2,2.658,15379.2,0,0,0,1,0,9.10744348575633,0.977573960291054,9.64077122610209,75,9.12107737107382,9.11814467047865,9.10055526743086,9.6301422161844,9.62653438565733,9.6282280000829,9.63995160191243,9.66202726943602,9.66730941895146,0.96330153614351,0.861341640389139
2010Q1,8822.75,2.764,15456.1,1,0,0,0,0,9.08508889178722,1.01667890590542,9.64575902641067,76,9.10744348575633,9.12107737107382,9.11814467047865,9.64077122610209,9.6301422161844,9.62653438565733,9.6282280000829,9.63995160191243,9.66202726943602,0.977573960291054,0.96330153614351
2010Q2,9220,2.85833333333333,15605.6,0,1,0,0,0,9.12913031655064,1.05023870438389,9.65538510318072,77,9.08508889178722,9.10744348575633,9.12107737107382,9.64575902641067,9.64077122610209,9.6301422161844,9.62653438565733,9.6282280000829,9.63995160191243,1.01667890590542,0.977573960291054
2010Q3,9302.2,2.774,15726.3,0,0,1,0,0,9.13800621030543,1.02029032189264,9.66308974905779,78,9.12913031655064,9.08508889178722,9.10744348575633,9.65538510318072,9.64575902641067,9.64077122610209,9.6301422161844,9.62653438565733,9.6282280000829,1.05023870438389,1.01667890590542
2010Q4,9045.33333333333,2.938,15808,0,0,0,1,0,9.11000424992352,1.07772907775169,9.66827141998765,79,9.13800621030543,9.12913031655064,9.08508889178722,9.66308974905779,9.65538510318072,9.64575902641067,9.64077122610209,9.6301422161844,9.62653438565733,1.02029032189264,1.05023870438389
2011Q1,8861.16666666667,3.34233333333333,15769.9,1,0,0,0,0,9.08943371288369,1.20666916587368,9.66585833878289,80,9.11000424992352,9.13800621030543,9.12913031655064,9.66827141998765,9.66308974905779,9.65538510318072,9.64575902641067,9.64077122610209,9.6301422161844,1.07772907775169,1.02029032189264
2011Q2,9132.71666666667,3.849,15876.8,0,1,0,0,0,9.11961848318042,1.34781337430161,9.67261420315998,81,9.08943371288369,9.11000424992352,9.13800621030543,9.66585833878289,9.66827141998765,9.66308974905779,9.65538510318072,9.64575902641067,9.64077122610209,1.20666916587368,1.07772907775169
2011Q3,9066.55,3.68933333333333,15870.7,0,0,1,0,0,9.11234709588613,1.30544577325657,9.6722299209283,82,9.11961848318042,9.08943371288369,9.11000424992352,9.67261420315998,9.66585833878289,9.66827141998765,9.66308974905779,9.65538510318072,9.64575902641067,1.34781337430161,1.20666916587368
2011Q4,8680.2,3.425,16048.7,0,0,0,1,0,9.0687998488636,1.23110147171419,9.683383128393,83,9.11234709588613,9.11961848318042,9.08943371288369,9.6722299209283,9.67261420315998,9.66585833878289,9.66827141998765,9.66308974905779,9.65538510318072,1.30544577325657,1.34781337430161
2012Q1,8293.93333333333,3.66233333333333,16180,1,0,0,0,0,9.02327960283495,1.29810046705063,9.69153119061248,84,9.0687998488636,9.11234709588613,9.11961848318042,9.683383128393,9.6722299209283,9.67261420315998,9.66585833878289,9.66827141998765,9.66308974905779,1.23110147171419,1.30544577325657
2012Q2,8791.45,3.78166666666667,16253.7,0,1,0,0,0,9.08153493725681,1.3301648295637,9.69607585414762,85,9.02327960283495,9.0687998488636,9.11234709588613,9.69153119061248,9.683383128393,9.6722299209283,9.67261420315998,9.66585833878289,9.66827141998765,1.29810046705063,1.23110147171419
2012Q3,8844.18333333333,3.72933333333333,16282.2,0,0,1,0,0,9.08751527144739,1.3162294866716,9.69782776556174,86,9.08153493725681,9.02327960283495,9.0687998488636,9.69607585414762,9.69153119061248,9.683383128393,9.6722299209283,9.67261420315998,9.66585833878289,1.3301648295637,1.29810046705063
2012Q4,8600.01666666667,3.57133333333333,16300,0,0,0,1,0,9.05951942022422,1.27293900879066,9.69892038679485,87,9.08751527144739,9.08153493725681,9.02327960283495,9.69782776556174,9.69607585414762,9.69153119061248,9.683383128393,9.6722299209283,9.67261420315998,1.3162294866716,1.3301648295637
2013Q1,8408.71666666667,3.63533333333333,16441.5,1,0,0,0,0,9.03702414520729,1.29070080783576,9.70756390532389,88,9.05951942022422,9.08751527144739,9.08153493725681,9.69892038679485,9.69782776556174,9.69607585414762,9.69153119061248,9.683383128393,9.6722299209283,1.27293900879066,1.3162294866716
2013Q2,8698.68333333333,3.66733333333333,16464.4,0,1,0,0,0,9.0709269521933,1.29946478578516,9.70895575321116,89,9.03702414520729,9.05951942022422,9.08751527144739,9.70756390532389,9.69892038679485,9.69782776556174,9.69607585414762,9.69153119061248,9.683383128393,1.29070080783576,1.27293900879066
